,Fecha,Magnitud,Intensidad,GAP,Latitud,Longitud,Lugar,Id,Hipocentro,Region,Pais
149,2022-12-03 11:41:36.885,4.7,6.2,50.0,7.2431,-77.1037,"22 km S of Riosucio, Colombia",",us6000j6n3,",40.005,Choco,CO
150,2022-12-02 23:09:22.099,4.4,4.9,37.0,8.0925,-72.5631,"17 km SW of La Esperanza, Colombia",",us6000j6gr,",10.0,Norte de Santander,CO
152,2022-12-02 13:24:00.291,4.1,1.0,120.0,6.795,-72.9223,"7 km NE of Cepitá, Colombia",",us6000j6ai,",156.937,Santander,CO
158,2022-11-28 13:37:13.142,4.7,2.0,49.0,6.8133,-76.113,"5 km NNE of Frontino, Colombia",",us7000isz1,",22.187,Antioquia,CO
160,2022-11-27 01:24:11.080,4.3,3.1,56.0,11.1231,-74.0526,"20 km SE of Santa Marta, Colombia",",us6000j636,",42.336,Magdalena,CO
192,2022-10-18 07:17:09.599,4.7,4.3,30.0,6.7912,-73.0398,"8 km WNW of Cepitá, Colombia",",us6000iuha,",161.151,Santander,CO
203,2022-10-03 23:49:57.944,4.7,3.1,48.0,6.9083,-76.7318,"12 km SE of Murindó, Colombia",",us6000iqkx,",15.899,Antioquia,CO
208,2022-09-26 03:41:59.137,4.2,2.0,155.0,3.3162,-79.1953,"121 km NW of Mosquera, Colombia",",us7000ib1b,",10.0,Narino,CO
211,2022-09-20 04:54:53.822,4.5,4.5,37.0,6.9237,-74.9252,"16 km E of Amalfi, Colombia",",us7000i9ft,",61.869,Antioquia,CO
212,2022-09-19 06:12:41.227,4.9,4.3,43.0,6.6815,-72.995,"2 km ESE of Aratoca, Colombia",",us7000i97s,",158.846,Santander,CO
215,2022-09-17 06:12:44.959,4.3,2.7,92.0,7.4207,-73.7203,"20 km ENE of Puerto Wilches, Colombia",",us7000i8rt,",108.926,Santander,CO
222,2022-09-01 04:57:05.410,4.4,5.3,32.0,6.7234,-73.0693,northern Colombia,",us7000i47m,",162.621,Santander,CO
234,2022-08-17 15:46:51.547,4.6,2.2,81.0,4.8445,-76.0511,"7 km S of El Águila, Colombia",",us7000i2l7,",128.811,Valle del Cauca,CO
274,2022-06-30 23:37:46.794,4.5,3.1,93.0,4.9528,-76.0895,"7 km NW of El Águila, Colombia",",us6000hyzh,",114.035,Valle del Cauca,CO
289,2022-06-12 07:05:50.196,4.0,5.2,99.0,0.8231,-77.9074,"16 km SW of Cumbal, Colombia",",us7000hgvq,",14.264,Narino,CO
292,2022-06-12 00:50:07.200,4.6,2.0,77.0,6.9518,-76.0316,"15 km WSW of Peque, Colombia",",us7000hgu3,",10.0,Antioquia,CO
313,2022-05-12 21:23:29.680,5.0,6.0,52.0,4.014,-76.4472,"10 km NNE of Darien, Colombia",",us6000hkph,",69.18,Valle del Cauca,CO
318,2022-04-29 23:47:47.572,4.1,1.0,112.0,6.9193,-73.1481,"13 km SW of Piedecuesta, Colombia",",us7000h5y8,",142.64,Santander,CO
325,2022-04-23 09:56:57.526,4.4,4.1,55.0,6.8684,-76.4688,"26 km WSW of Dabeiba, Colombia",",us6000hftr,",10.0,Antioquia,CO
330,2022-04-19 19:32:27.438,4.6,3.4,76.0,1.8566,-75.8536,"7 km NE of Acevedo, Colombia",",us7000h3ef,",28.88,Huila,CO
349,2022-03-19 22:22:52.414,4.5,2.2,47.0,6.8581,-73.1023,"13 km N of Jordán, Colombia",",us6000h63b,",146.73,Santander,CO
356,2022-03-07 18:34:28.862,4.9,2.0,52.0,6.7994,-72.9917,"5 km NNW of Cepitá, Colombia",",us6000h2un,",151.42,Santander,CO
363,2022-02-23 12:49:31.002,5.5,5.0,45.0,7.8174,-74.2494,"26 km SW of Santa Rosa del Sur, Colombia",",us7000gn6g,usauto7000gn6g,pt22054000,",50.69,Bolivar,CO
365,2022-02-20 18:35:07.326,4.3,1.0,60.0,6.9148,-73.0374,"8 km S of Piedecuesta, Colombia",",us7000gmgp,",148.24,Santander,CO
371,2022-02-07 00:31:23.897,4.4,3.1,91.0,3.448,-74.7357,"10 km NE of Colombia, Colombia",",us7000gipv,",62.48,Huila,CO
373,2022-02-06 07:13:18.004,4.7,4.1,28.0,10.5803,-73.2201,"13 km NNE of Valledupar, Colombia",",us7000gie4,",69.23,Cesar,CO
382,2022-01-19 04:25:47.723,4.6,5.6,35.0,5.3986,-72.5392,"17 km WNW of Yopal, Colombia",",us7000gd37,",10.0,Casanare,CO
390,2021-12-20 04:20:40.937,4.4,1.0,53.0,6.8648,-72.9781,"12 km N of Cepitá, Colombia",",us6000gdr7,",149.82,Santander,CO
395,2021-12-09 23:14:40.346,4.8,2.0,30.0,6.8146,-72.9486,"7 km NNE of Cepitá, Colombia",",us6000gb0x,",153.37,Santander,CO
397,2021-12-09 00:07:17.507,4.6,2.0,67.0,4.4212,-73.6567,"9 km NE of El Calvario, Colombia",",us6000gasf,",35.97,Meta,CO
402,2021-11-29 20:33:32.090,4.9,3.8,72.0,4.2503,-76.3426,"4 km NNW of Trujillo, Colombia",",us6000g7q7,",123.06,Valle del Cauca,CO
406,2021-11-28 09:42:15.997,4.7,2.6,94.0,7.5242,-76.9244,"23 km ENE of Riosucio, Colombia",",us7000fxps,",27.74,Choco,CO
408,2021-11-26 12:12:08.686,4.3,3.4,89.0,7.3397,-75.2766,"13 km ENE of Valdivia, Colombia",",us7000fx7u,",64.64,Antioquia,CO
423,2021-11-05 04:13:49.802,4.5,3.8,81.0,2.1522,-78.9939,"39 km WNW of Salahonda, Colombia",",us7000frle,",24.44,Narino,CO
429,2021-10-29 21:43:50.050,4.3,4.6,90.0,2.1847,-76.6147,"7 km S of Paispamba, Colombia",",us7000fpxh,",24.01,Cauca,CO
436,2021-10-12 04:51:47.707,5.0,3.4,68.0,6.8198,-72.9919,"7 km NNW of Cepitá, Colombia",",us6000ftws,",151.95,Santander,CO
440,2021-10-05 19:37:47.920,4.7,3.1,47.0,6.9037,-72.9739,"12 km SW of Santa Bárbara, Colombia",",us6000fs0z,",149.94,Santander,CO
450,2021-09-07 06:13:54.981,4.3,2.0,76.0,6.8762,-73.0522,"12 km S of Piedecuesta, Colombia",",us7000f8sd,",153.61,Santander,CO
458,2021-08-18 12:36:03.721,4.4,2.7,84.0,5.0726,-76.3165,"21 km NNW of San José del Palmar, Colombia",",us6000f7xk,",91.81,Choco,CO
470,2021-08-01 01:50:56.973,4.9,2.4,132.0,4.4828,-78.4767,"125 km WNW of Santa Genoveva de Docordó, Colombia",",us6000f14a,",10.0,Choco,CO
523,2021-06-14 16:25:35.061,4.5,2.0,48.0,6.8245,-73.0833,"10 km N of Jordán, Colombia",",us7000ed00,",154.37,Santander,CO
531,2021-05-29 15:01:11.568,4.4,3.8,62.0,8.4863,-77.031,"27 km E of Acandí, Colombia",",us6000efu0,",40.7,Choco,CO
532,2021-05-28 16:10:43.587,4.7,3.4,60.0,6.7826,-73.0743,"5 km NNE of Jordán, Colombia",",us6000efla,",154.11,Santander,CO
549,2021-05-01 06:36:35.562,4.5,3.9,76.0,11.867,-73.9181,"75 km NNE of Santa Marta, Colombia",",us7000dz7e,",10.0,Magdalena,CO
562,2021-04-07 10:46:01.143,4.4,2.9,34.0,13.1089,-81.3343,"28 km S of Mountain, Colombia",",us6000dzmi,",10.0,"Archipielago de San Andres, Providencia y Santa Catalina",CO
565,2021-04-02 22:44:02.939,5.0,5.1,25.0,7.4576,-76.9434,"19 km E of Riosucio, Colombia",",us6000dymn,",40.95,Choco,CO
569,2021-03-28 15:01:15.392,4.6,2.2,71.0,5.0712,-72.8726,"15 km WNW of Tauramena, Colombia",",us6000dx6m,",9.15,Casanare,CO
577,2021-03-22 04:37:41.986,5.0,2.0,31.0,3.9157,-71.3594,"91 km ESE of Puerto Gaitán, Colombia",",us7000dliw,usauto7000dliw,",10.0,Meta,CO
584,2021-03-14 18:14:25.073,4.8,2.7,59.0,6.4702,-74.4627,"7 km WSW of Puerto Berrío, Colombia",",us7000djca,",79.01,Antioquia,CO
588,2021-03-01 22:57:40.994,5.1,5.6,65.0,6.2035,-76.254,"18 km SW of Urrao, Colombia",",us7000deqh,usauto7000deqh,",10.0,Antioquia,CO
602,2021-02-15 00:17:28.359,4.6,4.9,57.0,11.4374,-77.0161,"200 km NW of Cartagena, Colombia",",us6000dhpp,",10.0,Bolivar,CO
611,2021-02-05 07:53:34.702,4.4,2.0,43.0,6.8018,-73.0451,"9 km NW of Cepitá, Colombia",",us6000dem5,",156.28,Santander,CO
615,2021-01-29 19:23:38.754,4.6,1.0,63.0,7.0716,-72.0803,"7 km NNE of Cubará, Colombia",",us6000dd2a,",24.39,Boyaca,CO
621,2021-01-27 07:57:33.358,4.9,4.4,86.0,4.4075,-75.856,"8 km NNW of Caicedonia, Colombia",",us7000d3m3,",159.4,Valle del Cauca,CO
623,2021-01-23 21:12:18.130,4.9,3.4,66.0,3.1222,-74.8254,"25 km E of Baraya, Colombia",",us7000d2ra,",25.07,Huila,CO
624,2021-01-23 08:24:16.930,4.5,1.0,108.0,6.0582,-77.4439,"19 km SSW of Bahía Solano, Colombia",",us7000d2mv,",32.79,Choco,CO
652,2020-12-28 21:47:36.989,4.4,2.0,109.0,3.4478,-77.253,"31 km WSW of Buenaventura, Colombia",",us6000d3tl,",88.49,Valle del Cauca,CO
659,2020-12-16 23:32:30.193,4.9,3.4,26.0,6.7841,-73.0438,"8 km NE of Jordán, Colombia",",us7000crpn,",153.59,Santander,CO
660,2020-12-12 02:24:10.270,5.0,2.0,53.0,5.7554,-77.8605,"65 km W of Nuquí, Colombia",",us7000cqgq,",10.0,Choco,CO
665,2020-12-08 03:21:59.906,5.1,3.4,31.0,4.7546,-77.4135,"22 km SSW of Pizarro, Colombia",",us7000cp26,",35.0,Choco,CO
679,2020-11-20 00:57:00.461,4.7,3.4,35.0,6.8332,-73.0682,"11 km NNE of Jordán, Colombia",",us6000cqlc,",148.74,Santander,CO
682,2020-11-16 13:59:21.031,4.8,2.5,58.0,4.7244,-76.5228,"15 km ENE of Sipí, Colombia",",us7000cfn8,",72.99,Choco,CO
713,2020-09-19 12:42:26.715,4.1,2.7,76.0,6.7621,-72.9752,"0 km N of Cepitá, Colombia",",us6000c0hz,",164.54,Santander,CO
730,2020-09-03 03:23:38.808,4.5,2.7,85.0,8.2139,-76.9417,"25 km NE of Unguía, Colombia",",us7000bh09,",43.48,Choco,CO
743,2020-08-14 02:34:37.500,4.4,3.4,73.0,4.2369,-73.6232,"7 km WSW of Restrepo, Colombia",",us6000beig,",10.0,Meta,CO
750,2020-07-25 10:48:02.425,4.6,2.0,140.0,2.7258,-79.5197,"121 km WNW of Mosquera, Colombia",",us6000b3ya,",10.0,Narino,CO
752,2020-07-22 19:21:57.282,4.6,4.1,41.0,6.7749,-73.0218,"5 km WNW of Cepitá, Colombia",",us6000b257,",152.11,Santander,CO
753,2020-07-22 03:16:36.285,5.1,4.6,35.0,11.0149,-72.4162,"25 km SE of Albania, Colombia",",us7000assn,",98.7,La Guajira,CO
754,2020-07-21 21:40:11.185,4.6,4.9,47.0,6.9523,-72.8355,"8 km NNE of Guaca, Colombia",",us7000asp1,",173.3,Santander,CO
755,2020-07-19 19:26:04.780,4.6,3.1,59.0,6.8045,-72.9999,"6 km NNW of Cepitá, Colombia",",us7000arb0,",160.01,Santander,CO
761,2020-07-11 20:26:43.599,4.6,3.4,48.0,6.829,-73.079,"10 km N of Jordán, Colombia",",us7000am18,",151.9,Santander,CO
763,2020-07-09 03:22:51.274,4.9,3.8,41.0,6.786,-72.9901,"3 km NNW of Cepitá, Colombia",",us7000akj8,",156.01,Santander,CO
784,2020-05-24 12:22:03.507,4.5,3.1,83.0,2.7483,-76.5659,"6 km E of Morales, Colombia",",us70009pgm,",10.0,Cauca,CO
810,2020-04-25 15:30:54.918,4.7,2.1,56.0,5.0458,-72.6728,"8 km ENE of Tauramena, Colombia",",us60009c8u,",50.13,Casanare,CO
815,2020-04-17 04:49:45.028,4.5,2.0,33.0,9.06,-74.3237,"12 km SSW of Margarita, Colombia",",us70008y5u,",47.34,Bolivar,CO
817,2020-04-15 10:59:28.999,5.7,6.5,20.0,9.0335,-74.4338,"13 km NNE of Pinillos, Colombia",",us70008wpb,pt20106000,",53.0,Bolivar,CO
820,2020-04-12 12:31:13.698,4.8,4.6,90.0,7.3954,-77.1263,"5 km S of Riosucio, Colombia",",us70008uu4,",47.51,Choco,CO
830,2020-04-02 03:15:51.206,4.8,5.4,37.0,5.724,-76.0317,"6 km WSW of Betania, Colombia",",us70008l6q,",86.86,Antioquia,CO
835,2020-03-28 05:55:09.624,4.9,3.7,75.0,6.7999,-73.0549,"8 km NNE of Jordán, Colombia",",us70008hq3,",155.01,Santander,CO
848,2020-02-29 08:06:10.519,4.7,2.7,106.0,5.8438,-77.6307,"42 km WNW of Nuquí, Colombia",",us600086tp,",10.0,Choco,CO
855,2020-02-21 12:35:45.268,4.5,2.0,62.0,6.7795,-72.9879,"3 km NNW of Cepitá, Colombia",",us70007u4y,",162.22,Santander,CO
857,2020-02-14 01:29:41.493,4.5,2.2,65.0,5.5129,-73.3156,"2 km NE of Soracá, Colombia",",us70007pt2,",5.06,Boyaca,CO
875,2020-01-14 17:57:08.678,4.8,2.2,49.0,6.8007,-73.0241,"7 km NW of Cepitá, Colombia",",us70006zqu,",157.09,Santander,CO
882,2019-12-26 10:52:21.267,4.4,4.1,79.0,3.3922,-74.0302,"1 km ENE of Mesetas, Colombia",",us70006r6t,",10.0,Meta,CO
883,2019-12-26 06:27:48.961,4.4,3.9,54.0,5.5346,-75.3256,"14 km E of Pácora, Colombia",",us70006r4u,",66.06,Caldas,CO
885,2019-12-26 03:48:29.883,4.8,4.8,62.0,3.3722,-74.0915,"5 km WSW of Mesetas, Colombia",",us70006r41,",10.0,Meta,CO
889,2019-12-25 02:11:23.210,5.0,4.3,65.0,3.419,-73.9867,"7 km ENE of Mesetas, Colombia",",us70006qsp,",10.0,Meta,CO
890,2019-12-25 00:25:01.178,4.6,3.4,77.0,3.4416,-74.098,"8 km NW of Mesetas, Colombia",",us70006qs6,",10.0,Meta,CO
892,2019-12-24 19:19:03.273,5.7,4.6,51.0,3.4502,-74.1034,"9 km NW of Mesetas, Colombia",",us70006qp1,",10.0,Meta,CO
895,2019-12-24 19:03:52.492,6.0,6.7,36.0,3.5359,-74.0176,"1 km NE of Lejanías, Colombia",",us70006qnn,",11.0,Meta,CO
914,2019-11-10 09:50:58.345,4.6,2.9,87.0,5.3086,-75.6187,"6 km WNW of Filadelfia, Colombia",",us600069x0,",126.88,Caldas,CO
918,2019-10-26 01:01:26.789,4.8,5.3,62.0,5.7484,-75.9089,"5 km S of Hispania, Colombia",",us60006330,",73.29,Antioquia,CO
925,2019-10-10 19:08:28.497,4.5,3.1,100.0,7.1349,-77.1082,"34 km S of Riosucio, Colombia",",us70005t5l,",40.25,Choco,CO
929,2019-09-29 11:19:59.671,4.9,3.4,68.0,11.9723,-73.6923,"87 km NNW of Dibulla, Colombia",",us70005ngk,",10.0,La Guajira,CO
932,2019-09-22 00:36:45.031,4.9,4.8,35.0,6.7979,-73.0169,"6 km NW of Cepitá, Colombia",",us60005lvz,",157.95,Santander,CO
944,2019-08-25 20:30:20.180,5.0,2.5,72.0,2.7344,-78.0396,"24 km NW of Guapí, Colombia",",us7000582j,",61.45,Cauca,CO
967,2019-07-13 02:39:02.626,4.6,2.0,72.0,10.0982,-73.132,"13 km ENE of Agustín Codazzi, Colombia",",us70004jg6,",130.36,Cesar,CO
984,2019-06-16 16:18:35.241,4.2,3.4,62.0,6.7518,-72.9741,"0 km S of Cepitá, Colombia",",us600041eu,",154.59,Santander,CO
987,2019-06-09 19:43:17.036,4.7,3.1,64.0,6.8764,-73.0401,"12 km S of Piedecuesta, Colombia",",us70003xh9,",135.34,Santander,CO
991,2019-05-25 15:13:36.186,4.2,2.0,83.0,6.8325,-73.0636,"11 km NNE of Jordán, Colombia",",us60003s3s,",151.32,Santander,CO
992,2019-05-24 16:12:45.126,4.9,2.5,94.0,6.9952,-77.5132,"30 km ESE of Juradó, Colombia",",us60003rpc,",10.0,Choco,CO
1000,2019-05-12 07:28:08.579,4.5,4.3,65.0,3.9341,-73.9292,"18 km NNW of Cubarral, Colombia",",us70003jzm,",10.0,Meta,CO
1023,2019-04-09 11:39:52.540,5.0,3.1,52.0,3.7455,-78.7363,"140 km NNW of Mosquera, Colombia",",us2000kcv2,",10.0,Narino,CO
1025,2019-04-08 02:07:34.647,4.4,2.2,42.0,6.8088,-73.0399,"9 km NW of Cepitá, Colombia",",us2000kc2d,",151.76,Santander,CO
1038,2019-03-23 19:21:17.998,6.1,6.0,20.0,4.5595,-76.223,"3 km WSW of Versalles, Colombia",",us1000jkrq,",122.0,Valle del Cauca,CO
1048,2019-03-06 01:48:09.360,4.5,3.1,51.0,10.9848,-74.7834,"1 km N of Barranquilla, Colombia",",us1000jb2l,",47.23,Atlantico,CO
1056,2019-02-19 11:06:30.290,4.6,2.0,105.0,4.1984,-76.781,"44 km NW of Darien, Colombia",",us2000jjyi,",69.32,Valle del Cauca,CO
1057,2019-02-14 21:09:47.720,4.5,4.3,102.0,5.7132,-76.1371,"18 km WSW of Betania, Colombia",",us2000ji5i,",68.11,Antioquia,CO
1062,2019-02-06 00:34:22.470,4.4,2.0,76.0,6.8571,-72.9948,"11 km N of Cepitá, Colombia",",us2000jdz7,",149.88,Santander,CO
1070,2019-01-28 21:07:09.960,5.5,4.9,73.0,3.0835,-75.6461,"12 km S of Planadas, Colombia",",us2000j9um,",13.06,Tolima,CO
1071,2019-01-26 12:32:26.830,5.6,5.0,67.0,3.0345,-75.7383,"13 km NW of Santa María, Colombia",",us2000j967,",10.0,Huila,CO
1075,2019-01-24 03:04:57.770,5.2,4.1,62.0,6.7506,-73.0062,"3 km W of Cepitá, Colombia",",us2000j832,",159.2,Santander,CO
1105,2018-12-05 14:11:15.720,4.6,2.0,36.0,13.0309,-81.3065,"37 km S of Mountain, Colombia",",us1000i2sg,",10.0,"Archipielago de San Andres, Providencia y Santa Catalina",CO
1121,2018-11-25 16:19:46.610,4.5,2.0,45.0,13.0131,-81.2118,"42 km SSE of Mountain, Colombia",",us1000hwds,",10.0,"Archipielago de San Andres, Providencia y Santa Catalina",CO
1122,2018-11-25 15:45:59.010,4.9,2.0,28.0,13.0623,-81.2039,"38 km SSE of Mountain, Colombia",",us1000hwdk,iscgem614337168,",10.0,"Archipielago de San Andres, Providencia y Santa Catalina",CO
1127,2018-11-25 03:40:50.810,6.0,3.1,25.0,13.1817,-81.0931,"36 km SE of Mountain, Colombia",",at00piqcvz,us1000hwaj,pt18329000,iscgem614337142,",10.0,"Archipielago de San Andres, Providencia y Santa Catalina",CO
1145,2018-10-29 21:31:16.790,5.0,2.5,41.0,8.6839,-77.2051,"20 km NNE of Acandí, Colombia",",us1000hirk,iscgem613517051,",10.0,Choco,CO
1152,2018-10-24 20:02:45.100,4.7,2.0,77.0,4.7859,-76.2596,"4 km WNW of El Cairo, Colombia",",us1000hgnp,",96.71,Valle del Cauca,CO
1181,2018-09-16 17:43:41.550,4.2,2.0,65.0,6.7762,-72.9383,"4 km ENE of Cepitá, Colombia",",us2000hfi3,",167.86,Santander,CO
1184,2018-09-11 06:20:26.040,4.1,1.0,67.0,6.7218,-72.9768,"3 km S of Cepitá, Colombia",",us2000hcfu,",150.58,Santander,CO
1185,2018-09-11 06:08:33.640,3.2,4.3,161.0,1.2493,-77.3936,"5 km SSE of La Florida, Colombia",",us2000hd3f,",10.0,Narino,CO
1197,2018-08-22 13:06:20.890,4.5,2.0,106.0,6.2832,-74.1118,"18 km W of Cimitarra, Colombia",",us1000gftc,",10.0,Santander,CO
1209,2018-08-07 15:53:59.180,5.3,4.6,30.0,6.7814,-72.9952,"3 km NW of Cepitá, Colombia",",us1000g4v6,",146.36,Santander,CO
1215,2018-07-27 06:01:04.550,4.5,2.2,107.0,6.129,-77.4093,"10 km S of Bahía Solano, Colombia",",us2000geyk,",10.0,Choco,CO
1219,2018-07-19 05:39:34.580,5.1,6.6,40.0,3.4257,-74.5982,"23 km ENE of Colombia, Colombia",",us2000g8gz,",47.77,Huila,CO
1230,2018-07-07 00:19:52.490,4.5,3.8,85.0,2.9425,-75.621,"3 km ESE of Santa María, Colombia",",us2000fyt3,",65.81,Huila,CO
1237,2018-06-22 20:08:53.150,4.4,2.0,93.0,3.8892,-76.2331,"7 km E of Guadalajara de Buga, Colombia",",us1000ez04,",81.78,Valle del Cauca,CO
1238,2018-06-20 20:12:15.450,4.7,2.7,103.0,6.9233,-76.2432,"8 km WNW of Uramita, Colombia",",us1000ewt5,",59.71,Antioquia,CO
1244,2018-06-12 09:35:25.480,4.9,5.6,42.0,1.0673,-77.2722,"13 km ESE of Tangua, Colombia",",us1000ep1l,",11.55,Narino,CO
1249,2018-05-31 03:02:11.150,4.6,4.3,60.0,6.7598,-72.934,"4 km E of Cepitá, Colombia",",us1000efau,",160.29,Santander,CO
1250,2018-05-29 14:15:41.800,3.4,3.8,183.0,1.2764,-77.4896,"2 km WSW of Sandoná, Colombia",",us1000eea0,",10.0,Narino,CO
1258,2018-05-20 11:17:41.600,4.5,2.7,47.0,6.7626,-72.966,"1 km NE of Cepitá, Colombia",",us1000e8yh,",160.16,Santander,CO
1265,2018-04-29 01:08:17.130,4.1,3.1,102.0,5.41,-76.1413,"24 km NNW of Pueblo Rico, Colombia",",us1000du57,",119.61,Risaralda,CO
1268,2018-04-24 23:25:30.340,3.7,2.0,101.0,5.3035,-75.9188,"3 km WNW of Mistrató, Colombia",",us1000drr4,",10.0,Risaralda,CO
1272,2018-04-23 15:42:09.790,5.3,5.0,21.0,5.1865,-75.5438,"3 km NW of Neira, Colombia",",us1000dqpz,",110.03,Caldas,CO
1273,2018-04-23 06:49:34.250,4.3,3.0,61.0,7.3432,-73.0316,"2 km NW of Matanza, Colombia",",us1000dqiv,",150.8,Santander,CO
1287,2018-04-01 15:16:58.700,4.3,3.1,53.0,4.2525,-76.3511,"5 km NW of Trujillo, Colombia",",us1000dc4l,",98.22,Valle del Cauca,CO
1304,2018-02-25 00:38:05.840,4.4,2.0,65.0,6.5126,-73.3959,"10 km NW of Simacota, Colombia",",us2000d7jp,",132.15,Santander,CO
1305,2018-02-19 01:50:36.640,4.8,4.1,52.0,4.0967,-76.6247,Colombia,",us2000d4he,",103.17,Valle del Cauca,CO
1314,2018-02-04 15:11:18.180,4.5,2.0,81.0,6.7188,-72.9886,"4 km SSW of Cepitá, Colombia",",us1000cfp3,",169.81,Santander,CO
1329,2018-01-23 05:31:34.170,4.5,4.3,93.0,8.229,-74.9986,"4 km WSW of Pueblo Nuevo, Colombia",",us2000cmwp,",54.81,Cordoba,CO
1330,2018-01-21 17:51:58.320,4.7,2.2,43.0,6.8149,-72.9797,"6 km N of Cepitá, Colombia",",us2000cm5z,",152.9,Santander,CO
1333,2018-01-08 12:58:27.190,4.9,3.6,29.0,6.7908,-72.9803,"4 km N of Cepitá, Colombia",",us1000c201,",153.38,Santander,CO
1341,2017-12-21 19:26:40.150,4.6,3.8,91.0,4.1427,-76.2035,"5 km SW of Andalucía, Colombia",",us1000bung,",156.27,Valle del Cauca,CO
1351,2017-12-10 05:33:09.080,4.3,2.6,67.0,6.7699,-73.0058,"3 km WNW of Cepitá, Colombia",",us2000c2jb,",150.71,Santander,CO
1363,2017-11-23 20:44:40.960,4.4,2.0,81.0,7.4948,-76.076,"48 km NE of Mutatá, Colombia",",us2000btmv,",42.05,Antioquia,CO
1375,2017-11-16 00:56:07.710,4.5,3.1,80.0,4.7377,-76.1183,"1 km N of Argelia, Colombia",",us2000bpce,",105.19,Valle del Cauca,CO
1376,2017-11-15 02:12:17.850,4.4,3.4,78.0,3.7278,-76.1191,"10 km W of La Cumbre, Colombia",",us2000bnnm,",162.11,Valle del Cauca,CO
1377,2017-11-11 14:45:22.240,4.7,3.8,100.0,2.7641,-74.9148,"38 km E of Rivera, Colombia",",us2000bm1j,",46.1,Huila,CO
1385,2017-11-04 00:16:35.270,5.1,3.1,24.0,2.4828,-76.0318,"8 km SSE of Inzá, Colombia",",us2000bi7p,",157.28,Cauca,CO
1387,2017-10-26 07:59:30.300,4.8,3.4,54.0,10.1361,-73.5644,"37 km WNW of Agustín Codazzi, Colombia",",us1000ax2t,",86.02,Cesar,CO
1400,2017-10-01 01:35:25.240,5.1,4.3,30.0,7.5275,-73.148,"8 km NE of El Playón, Colombia",",us2000axct,",128.61,Santander,CO
